Freq:2:1.2:1.3
Nodes:3

#time  node1  node2     pathloss 
45.002435167  3  2 1000.000000  151.369870
46.000005000  1  3 134.561214   1000.000000
46.002435183  3  2 1000.000000  151.357885
47.000005000  1  3 134.599006   1000.000000
47.002435203  3  2 1000.000000  151.343493
48.000005000  1  3 134.630437   1000.000000
48.002435220  3  2 1000.000000  151.331490
49.000005000  1  3 134.668079   1000.000000
49.002435240  3  2 1000.000000  151.317075
50.000005000  1  3 134.699385   1000.000000
50.002435257  3  2 1000.000000  151.305054
51.000005000  1  3 134.736878   1000.000000
51.002435277  3  2 1000.000000  151.290618
52.000005000  1  3 134.768060   1000.000000
52.002435293  3  2 1000.000000  151.278578
53.000005000  1  3 134.805406   1000.000000
53.002435313  3  2 1000.000000  151.264120
54.000005000  1  3 134.842671   1000.000000
54.002435333  3  2 1000.000000  151.249649
55.000005000  1  3 134.873664   1000.000000
55.002435350  3  2 1000.000000  151.237582
56.000005000  1  3 134.910783   1000.000000
56.002435370  3  2 1000.000000  151.223089
57.000005000  1  3 134.941656   1000.000000
57.002435387  3  2 1000.000000  151.211003
58.000005000  1  3 134.978630   1000.000000
58.002435407  3  2 1000.000000  151.196488
59.000005000  1  3 135.009382   1000.000000
59.002435423  3  2 1000.000000  151.184383
60.000005000  1  3 135.046213   1000.000000
60.002435443  3  2 1000.000000  151.169846
61.000005000  1  3 135.076845   1000.000000
61.002435460  3  2 1000.000000  151.157722
62.000005000  1  3 135.113533   1000.000000
62.002435480  3  2 1000.000000  151.143163
63.000005000  1  3 135.150144   1000.000000
63.002435500  3  2 1000.000000  151.128591
64.000005000  1  3 135.180594   1000.000000
64.002435517  3  2 1000.000000  151.116439
65.000005000  1  3 135.217064   1000.000000
65.002435537  3  2 1000.000000  151.101845
66.000005000  1  3 135.247397   1000.000000
66.002435553  3  2 1000.000000  151.089674
67.000005000  1  3 135.283727   1000.000000
67.002435573  3  2 1000.000000  151.075057
68.000005000  1  3 135.313944   1000.000000
68.002435590  3  2 1000.000000  151.062867
69.000005000  1  3 135.350135   1000.000000
69.002435610  3  2 1000.000000  151.048228
70.000005000  1  3 135.380237   1000.000000
70.002435627  3  2 1000.000000  151.036020
71.000005000  1  3 135.416291   1000.000000
71.002435647  3  2 1000.000000  151.021358
72.000005000  1  3 135.452270   1000.000000
72.002435667  3  2 1000.000000  151.006684
73.000005000  1  3 135.482195   1000.000000
73.002435683  3  2 1000.000000  150.994446
74.000005000  1  3 135.518038   1000.000000
74.002435703  3  2 1000.000000  150.979749
75.000005000  1  3 135.547850   1000.000000
75.002435720  3  2 1000.000000  150.967492
76.000005000  1  3 135.583558   1000.000000
76.002435740  3  2 1000.000000  150.952772
77.000005000  1  3 135.613259   1000.000000
77.002435757  3  2 1000.000000  150.940496
78.000005000  1  3 135.648832   1000.000000
78.002435777  3  2 1000.000000  150.925753
79.000005000  1  3 135.678421   1000.000000
79.002435793  3  2 1000.000000  150.913458
80.000005000  1  3 135.713862   1000.000000
80.002435813  3  2 1000.000000  150.898693
81.000005000  1  3 135.749230   1000.000000
81.002435833  3  2 1000.000000  150.883914
82.000005000  1  3 135.778649   1000.000000
82.002435850  3  2 1000.000000  150.871590
83.000005000  1  3 135.813886   1000.000000
83.002435870  3  2 1000.000000  150.856788
84.000005000  1  3 135.843196   1000.000000
84.002435887  3  2 1000.000000  150.844444
85.000005000  1  3 135.878302   1000.000000
85.002435907  3  2 1000.000000  150.829620
86.000005000  1  3 135.907503   1000.000000
86.002435923  3  2 1000.000000  150.817256
87.000005000  1  3 135.942480   1000.000000
87.002435943  3  2 1000.000000  150.802409
88.000005000  1  3 135.971573   1000.000000
88.002435960  3  2 1000.000000  150.790026
89.000005000  1  3 136.006421   1000.000000
89.002435980  3  2 1000.000000  150.775155
90.000005000  1  3 136.041200   1000.000000
90.002436000  3  2 1000.000000  150.760271
91.000005000  1  3 136.070129   1000.000000
91.002436017  3  2 1000.000000  150.747858
92.000005000  1  3 136.104780   1000.000000
92.002436037  3  2 1000.000000  150.732951
93.000005000  1  3 136.133603   1000.000000
93.002436053  3  2 1000.000000  150.720519
94.000005000  1  3 136.168128   1000.000000
94.002436073  3  2 1000.000000  150.705588
95.000005000  1  3 136.196846   1000.000000
95.002436090  3  2 1000.000000  150.693136
96.000005000  1  3 136.231246   1000.000000
96.002436110  3  2 1000.000000  150.678182
97.000005000  1  3 136.259860   1000.000000
97.002436127  3  2 1000.000000  150.665710
98.000005000  1  3 136.294136   1000.000000
98.002436147  3  2 1000.000000  150.650733
99.000005000  1  3 136.328343   1000.000000
99.002436167  3  2 1000.000000  150.635742
100.000005000  1  3 136.356798  1000.000000
100.002436183  3  2 1000.000000 150.623240
101.000005000  1  3 136.390883  1000.000000
101.002436203  3  2 1000.000000 150.608225
102.000005000  1  3 136.419236  1000.000000
102.002436220  3  2 1000.000000 150.595703
103.000005000  1  3 136.453198  1000.000000
103.002436240  3  2 1000.000000 150.580665
104.000005000  1  3 136.481449  1000.000000
104.002436257  3  2 1000.000000 150.568123
105.000005000  1  3 136.515291  1000.000000
105.002436277  3  2 1000.000000 150.553061
106.000005000  1  3 136.543441  1000.000000
106.002436293  3  2 1000.000000 150.540499
107.000005000  1  3 136.577162  1000.000000
107.002436313  3  2 1000.000000 150.525413
108.000005000  1  3 136.610817  1000.000000
108.002436333  3  2 1000.000000 150.510313
109.000005000  1  3 136.638814  1000.000000
109.002436350  3  2 1000.000000 150.497720
110.000005000  1  3 136.672350  1000.000000
110.002436370  3  2 1000.000000 150.482597
111.000005000  1  3 136.700248  1000.000000
111.002436387  3  2 1000.000000 150.469984
112.000005000  1  3 136.733666  1000.000000
112.002436407  3  2 1000.000000 150.454836
113.000005000  1  3 136.761465  1000.000000
113.002436423  3  2 1000.000000 150.442203
114.000005000  1  3 136.794765  1000.000000
114.002436443  3  2 1000.000000 150.427032
115.000005000  1  3 136.822467  1000.000000
115.002436460  3  2 1000.000000 150.414378
116.000005000  1  3 136.855651  1000.000000
116.002436480  3  2 1000.000000 150.399182
117.000005000  1  3 136.888772  1000.000000
117.002436500  3  2 1000.000000 150.383972
118.000005000  1  3 136.916324  1000.000000
118.002436517  3  2 1000.000000 150.371288
119.000005000  1  3 136.949329  1000.000000
119.002436537  3  2 1000.000000 150.356054
120.000005000  1  3 136.976786  1000.000000
120.002436553  3  2 1000.000000 150.343349
121.000005000  1  3 137.009677  1000.000000
121.002436573  3  2 1000.000000 150.328090
122.000005000  1  3 137.037038  1000.000000
122.002436590  3  2 1000.000000 150.315364
123.000005000  1  3 137.069815  1000.000000
123.002436610  3  2 1000.000000 150.300081
124.000005000  1  3 137.097082  1000.000000
124.002436627  3  2 1000.000000 150.287335
125.000005000  1  3 137.129746  1000.000000
125.002436647  3  2 1000.000000 150.272027
126.000005000  1  3 137.162349  1000.000000
126.002436667  3  2 1000.000000 150.256706
127.000005000  1  3 137.189471  1000.000000
127.002436683  3  2 1000.000000 150.243928
128.000005000  1  3 137.221962  1000.000000
128.002436703  3  2 1000.000000 150.228582
129.000005000  1  3 137.248991  1000.000000
129.002436720  3  2 1000.000000 150.215783
130.000005000  1  3 137.281371  1000.000000
130.002436740  3  2 1000.000000 150.200412
131.000005000  1  3 137.308308  1000.000000
131.002436757  3  2 1000.000000 150.187593
132.000005000  1  3 137.340578  1000.000000
132.002436777  3  2 1000.000000 150.172197
133.000005000  1  3 137.367423  1000.000000
133.002436793  3  2 1000.000000 150.159356
134.000005000  1  3 137.399583  1000.000000
134.002436813  3  2 1000.000000 150.143935
135.000005000  1  3 137.431684  1000.000000
135.002436833  3  2 1000.000000 150.128501
136.000005000  1  3 137.458389  1000.000000
136.002436850  3  2 1000.000000 150.115628
137.000005000  1  3 137.490382  1000.000000
137.002436870  3  2 1000.000000 150.100168
138.000005000  1  3 137.516997  1000.000000
138.002436887  3  2 1000.000000 150.087274
139.000005000  1  3 137.548881  1000.000000
139.002436907  3  2 1000.000000 150.071789
140.000005000  1  3 137.575407  1000.000000
140.002436923  3  2 1000.000000 150.058874
141.000005000  1  3 137.607185  1000.000000
141.002436943  3  2 1000.000000 150.043364
142.000005000  1  3 137.633622  1000.000000
142.002436960  3  2 1000.000000 150.030428
143.000005000  1  3 137.665293  1000.000000
143.002436980  3  2 1000.000000 150.014892
144.000005000  1  3 137.696907  1000.000000
144.002437000  3  2 1000.000000 149.999342
145.000005000  1  3 137.723208  1000.000000
145.002437017  3  2 1000.000000 149.986373
146.000005000  1  3 137.754717  1000.000000
146.002437037  3  2 1000.000000 149.970797
147.000005000  1  3 137.780931  1000.000000
147.002437053  3  2 1000.000000 149.957807
148.000005000  1  3 137.812335  1000.000000
148.002437073  3  2 1000.000000 149.942206
149.000005000  1  3 137.838462  1000.000000
149.002437090  3  2 1000.000000 149.929195
150.000005000  1  3 137.869762  1000.000000
150.002437110  3  2 1000.000000 149.913568
151.000005000  1  3 137.895803  1000.000000
151.002437127  3  2 1000.000000 149.900535
152.000005000  1  3 137.927000  1000.000000
152.002437147  3  2 1000.000000 149.884882
153.000005000  1  3 137.958142  1000.000000
153.002437167  3  2 1000.000000 149.869215
154.000005000  1  3 137.984051  1000.000000
154.002437183  3  2 1000.000000 149.856149
155.000005000  1  3 138.015090  1000.000000
155.002437203  3  2 1000.000000 149.840456
156.000005000  1  3 138.040914  1000.000000
156.002437220  3  2 1000.000000 149.827368
157.000005000  1  3 138.071852  1000.000000
157.002437240  3  2 1000.000000 149.811650
158.000005000  1  3 138.097592  1000.000000
158.002437257  3  2 1000.000000 149.798540
159.000005000  1  3 138.128430  1000.000000
159.002437277  3  2 1000.000000 149.782795
160.000005000  1  3 138.154086  1000.000000
160.002437293  3  2 1000.000000 149.769663
161.000005000  1  3 138.184823  1000.000000
161.002437313  3  2 1000.000000 149.753892
162.000005000  1  3 138.215506  1000.000000
162.002437333  3  2 1000.000000 149.738107
163.000005000  1  3 138.241034  1000.000000
163.002437350  3  2 1000.000000 149.724942
164.000005000  1  3 138.271618  1000.000000
164.002437370  3  2 1000.000000 149.709130
165.000005000  1  3 138.297064  1000.000000
165.002437387  3  2 1000.000000 149.695943
166.000005000  1  3 138.327550  1000.000000
166.002437407  3  2 1000.000000 149.680104
167.000005000  1  3 138.352914  1000.000000
167.002437423  3  2 1000.000000 149.666895
168.000005000  1  3 138.383302  1000.000000
168.002437443  3  2 1000.000000 149.651030
169.000005000  1  3 138.408585  1000.000000
169.002437460  3  2 1000.000000 149.637799
170.000005000  1  3 138.438875  1000.000000
170.002437480  3  2 1000.000000 149.621907
171.000005000  1  3 138.469113  1000.000000
171.002437500  3  2 1000.000000 149.606002
172.000005000  1  3 138.494272  1000.000000
172.002437517  3  2 1000.000000 149.592736
173.000005000  1  3 138.524414  1000.000000
173.002437537  3  2 1000.000000 149.576803
174.000005000  1  3 138.549492  1000.000000
174.002437553  3  2 1000.000000 149.563515
175.000005000  1  3 138.579538  1000.000000
175.002437573  3  2 1000.000000 149.547555
176.000005000  1  3 138.604537  1000.000000
176.002437590  3  2 1000.000000 149.534245
177.000005000  1  3 138.634489  1000.000000
177.002437610  3  2 1000.000000 149.518258
178.000005000  1  3 138.659409  1000.000000
178.002437627  3  2 1000.000000 149.504925
179.000005000  1  3 138.689266  1000.000000
179.002437647  3  2 1000.000000 149.488912
180.000005000  1  3 138.719071  1000.000000
180.002437667  3  2 1000.000000 149.472884
181.000005000  1  3 138.743871  1000.000000
181.002437683  3  2 1000.000000 149.459516
182.000005000  1  3 138.773583  1000.000000
182.002437703  3  2 1000.000000 149.443461
183.000005000  1  3 138.798304  1000.000000
183.002437720  3  2 1000.000000 149.430070
184.000005000  1  3 138.827924  1000.000000
184.002437740  3  2 1000.000000 149.413987
185.000005000  1  3 138.852568  1000.000000
185.002437757  3  2 1000.000000 149.400574
186.000005000  1  3 138.882095  1000.000000
186.002437777  3  2 1000.000000 149.384464
187.000005000  1  3 138.906663  1000.000000
187.002437793  3  2 1000.000000 149.371028
188.000005000  1  3 138.936098  1000.000000
188.002437813  3  2 1000.000000 149.354891
189.000005000  1  3 138.965484  1000.000000
189.002437833  3  2 1000.000000 149.338738
190.000005000  1  3 138.989934  1000.000000
190.002437850  3  2 1000.000000 149.325267
191.000005000  1  3 139.019229  1000.000000
191.002437870  3  2 1000.000000 149.309087
192.000005000  1  3 139.043603  1000.000000
192.002437887  3  2 1000.000000 149.295592
193.000005000  1  3 139.072808  1000.000000
193.002437907  3  2 1000.000000 149.279384
194.000005000  1  3 139.097107  1000.000000
194.002437923  3  2 1000.000000 149.265867
195.000005000  1  3 139.126222  1000.000000
195.002437943  3  2 1000.000000 149.249631
196.000005000  1  3 139.150447  1000.000000
196.002437960  3  2 1000.000000 149.236090
197.000005000  1  3 139.179473  1000.000000
197.002437980  3  2 1000.000000 149.219827
198.000005000  1  3 139.208450  1000.000000
198.002438000  3  2 1000.000000 149.203549
199.000005000  1  3 139.232560  1000.000000
199.002438017  3  2 1000.000000 149.189972
200.000005000  1  3 139.261449  1000.000000
200.002438037  3  2 1000.000000 149.173665
201.000005000  1  3 139.285487  1000.000000
201.002438053  3  2 1000.000000 149.160065
202.000005000  1  3 139.314287  1000.000000
202.002438073  3  2 1000.000000 149.143730
203.000005000  1  3 139.338252  1000.000000
203.002438090  3  2 1000.000000 149.130106
204.000005000  1  3 139.366966  1000.000000
204.002438110  3  2 1000.000000 149.113744
205.000005000  1  3 139.390857  1000.000000
205.002438127  3  2 1000.000000 149.100096
206.000005000  1  3 139.419484  1000.000000
206.002438147  3  2 1000.000000 149.083705
207.000005000  1  3 139.448064  1000.000000
207.002438167  3  2 1000.000000 149.067299
208.000005000  1  3 139.471845  1000.000000
208.002438183  3  2 1000.000000 149.053615
209.000005000  1  3 139.500339  1000.000000
209.002438203  3  2 1000.000000 149.037180
210.000005000  1  3 139.524048  1000.000000
210.002438220  3  2 1000.000000 149.023472
211.000005000  1  3 139.552457  1000.000000
211.002438240  3  2 1000.000000 149.007008
212.000005000  1  3 139.576095  1000.000000
212.002438257  3  2 1000.000000 148.993277
213.000005000  1  3 139.604418  1000.000000
213.002438277  3  2 1000.000000 148.976785
214.000005000  1  3 139.627986  1000.000000
214.002438293  3  2 1000.000000 148.963029
215.000005000  1  3 139.656225  1000.000000
215.002438313  3  2 1000.000000 148.946508
216.000005000  1  3 139.684419  1000.000000
216.002438333  3  2 1000.000000 148.929972
217.000005000  1  3 139.707878  1000.000000
217.002438350  3  2 1000.000000 148.916179
218.000005000  1  3 139.735988  1000.000000
218.002438370  3  2 1000.000000 148.899613
219.000005000  1  3 139.759378  1000.000000
219.002438387  3  2 1000.000000 148.885797
220.000005000  1  3 139.787404  1000.000000
220.002438407  3  2 1000.000000 148.869202
221.000005000  1  3 139.810725  1000.000000
221.002438423  3  2 1000.000000 148.855361
222.000005000  1  3 139.838669  1000.000000
222.002438443  3  2 1000.000000 148.838737
223.000005000  1  3 139.861922  1000.000000
223.002438460  3  2 1000.000000 148.824872
224.000005000  1  3 139.889783  1000.000000
224.002438480  3  2 1000.000000 148.808219
225.000005000  1  3 139.917600  1000.000000
225.002438500  3  2 1000.000000 148.791550
226.000005000  1  3 139.940747  1000.000000
226.002438517  3  2 1000.000000 148.777647
227.000005000  1  3 139.968483  1000.000000
227.002438537  3  2 1000.000000 148.760949
228.000005000  1  3 139.991562  1000.000000
228.002438553  3  2 1000.000000 148.747022
229.000005000  1  3 140.019217  1000.000000
229.002438573  3  2 1000.000000 148.730294
230.000005000  1  3 140.042229  1000.000000
230.002438590  3  2 1000.000000 148.716342
231.000005000  1  3 140.069803  1000.000000
231.002438610  3  2 1000.000000 148.699584
232.000005000  1  3 140.092748  1000.000000
232.002438627  3  2 1000.000000 148.685608
233.000005000  1  3 140.120243  1000.000000
233.002438647  3  2 1000.000000 148.668820
234.000005000  1  3 140.147694  1000.000000
234.002438667  3  2 1000.000000 148.652017
235.000005000  1  3 140.170536  1000.000000
235.002438683  3  2 1000.000000 148.638002
236.000005000  1  3 140.197908  1000.000000
236.002438703  3  2 1000.000000 148.621169
237.000005000  1  3 140.220684  1000.000000
237.002438720  3  2 1000.000000 148.607129
238.000005000  1  3 140.247977  1000.000000
238.002438740  3  2 1000.000000 148.590266
239.000005000  1  3 140.270688  1000.000000
239.002438757  3  2 1000.000000 148.576201
240.000005000  1  3 140.297902  1000.000000
240.002438777  3  2 1000.000000 148.559308
241.000005000  1  3 140.320548  1000.000000
241.002438793  3  2 1000.000000 148.545217
242.000005000  1  3 140.347685  1000.000000
242.002438813  3  2 1000.000000 148.528294
243.000005000  1  3 140.374779  1000.000000
243.002438833  3  2 1000.000000 148.511354
244.000005000  1  3 140.397325  1000.000000
244.002438850  3  2 1000.000000 148.497225
245.000005000  1  3 140.424342  1000.000000
245.002438870  3  2 1000.000000 148.480255
246.000005000  1  3 140.446824  1000.000000
246.002438887  3  2 1000.000000 148.466101
247.000005000  1  3 140.473764  1000.000000
247.002438907  3  2 1000.000000 148.449100
248.000005000  1  3 140.496182  1000.000000
248.002438923  3  2 1000.000000 148.434920
249.000005000  1  3 140.523045  1000.000000
249.002438943  3  2 1000.000000 148.417889
250.000005000  1  3 140.545400  1000.000000
250.002438960  3  2 1000.000000 148.403683
251.000005000  1  3 140.572188  1000.000000
251.002438980  3  2 1000.000000 148.386622
252.000005000  1  3 140.598934  1000.000000
252.002439000  3  2 1000.000000 148.369543
253.000005000  1  3 140.621191  1000.000000
253.002439017  3  2 1000.000000 148.355298
254.000005000  1  3 140.647862  1000.000000
254.002439037  3  2 1000.000000 148.338189
255.000005000  1  3 140.670057  1000.000000
255.002439053  3  2 1000.000000 148.323918
256.000005000  1  3 140.696653  1000.000000
256.002439073  3  2 1000.000000 148.306777
257.000005000  1  3 140.718786  1000.000000
257.002439090  3  2 1000.000000 148.292481
258.000005000  1  3 140.745307  1000.000000
258.002439110  3  2 1000.000000 148.275309
259.000005000  1  3 140.767378  1000.000000
259.002439127  3  2 1000.000000 148.260987
260.000005000  1  3 140.793826  1000.000000
260.002439147  3  2 1000.000000 148.243784
261.000005000  1  3 140.820233  1000.000000
261.002439167  3  2 1000.000000 148.226565
262.000005000  1  3 140.842209  1000.000000
262.002439183  3  2 1000.000000 148.212202
263.000005000  1  3 140.868543  1000.000000
263.002439203  3  2 1000.000000 148.194951
264.000005000  1  3 140.890458  1000.000000
264.002439220  3  2 1000.000000 148.180562
265.000005000  1  3 140.916719  1000.000000
265.002439240  3  2 1000.000000 148.163279
266.000005000  1  3 140.938573  1000.000000
266.002439257  3  2 1000.000000 148.148864
267.000005000  1  3 140.964762  1000.000000
267.002439277  3  2 1000.000000 148.131550
268.000005000  1  3 140.986556  1000.000000
268.002439293  3  2 1000.000000 148.117109
269.000005000  1  3 141.012672  1000.000000
269.002439313  3  2 1000.000000 148.099763
270.000005000  1  3 141.038749  1000.000000
270.002439333  3  2 1000.000000 148.082400
271.000005000  1  3 141.060450  1000.000000
271.002439350  3  2 1000.000000 148.067917
272.000005000  1  3 141.086456  1000.000000
272.002439370  3  2 1000.000000 148.050522
273.000005000  1  3 141.108098  1000.000000
273.002439387  3  2 1000.000000 148.036013
274.000005000  1  3 141.134032  1000.000000
274.002439407  3  2 1000.000000 148.018586
275.000005000  1  3 141.155615  1000.000000
275.002439423  3  2 1000.000000 148.004050
276.000005000  1  3 141.181479  1000.000000
276.002439443  3  2 1000.000000 147.986591
277.000005000  1  3 141.203002  1000.000000
277.002439460  3  2 1000.000000 147.972029
278.000005000  1  3 141.228796  1000.000000
278.002439480  3  2 1000.000000 147.954537
279.000005000  1  3 141.254551  1000.000000
279.002439500  3  2 1000.000000 147.937028
280.000005000  1  3 141.275984  1000.000000
280.002439517  3  2 1000.000000 147.922424
281.000005000  1  3 141.301669  1000.000000
281.002439537  3  2 1000.000000 147.904883
282.000005000  1  3 141.323045  1000.000000
282.002439553  3  2 1000.000000 147.890251
283.000005000  1  3 141.348660  1000.000000
283.002439573  3  2 1000.000000 147.872677
284.000005000  1  3 141.369978  1000.000000
284.002439590  3  2 1000.000000 147.858019
285.000005000  1  3 141.395525  1000.000000
285.002439610  3  2 1000.000000 147.840412
286.000005000  1  3 141.416785  1000.000000
286.002439627  3  2 1000.000000 147.825727
287.000005000  1  3 141.442263  1000.000000
287.002439647  3  2 1000.000000 147.808087
288.000005000  1  3 141.467704  1000.000000
288.002439667  3  2 1000.000000 147.790430
289.000005000  1  3 141.488876  1000.000000
289.002439683  3  2 1000.000000 147.775702
290.000005000  1  3 141.514249  1000.000000
290.002439703  3  2 1000.000000 147.758012
291.000005000  1  3 141.535364  1000.000000
291.002439720  3  2 1000.000000 147.743256
292.000005000  1  3 141.560669  1000.000000
292.002439740  3  2 1000.000000 147.725533
293.000005000  1  3 141.581728  1000.000000
293.002439757  3  2 1000.000000 147.710750
294.000005000  1  3 141.606966  1000.000000
294.002439777  3  2 1000.000000 147.692993
295.000005000  1  3 141.627969  1000.000000
295.002439793  3  2 1000.000000 147.678182
296.000005000  1  3 141.653140  1000.000000
296.002439813  3  2 1000.000000 147.660392
297.000005000  1  3 141.678274  1000.000000
297.002439833  3  2 1000.000000 147.642584
298.000005000  1  3 141.699191  1000.000000
298.002439850  3  2 1000.000000 147.627730
299.000005000  1  3 141.724258  1000.000000
299.002439870  3  2 1000.000000 147.609889
300.000005000  1  3 141.745120  1000.000000
300.002439887  3  2 1000.000000 147.595007
301.000005000  1  3 141.770122  1000.000000
301.002439907  3  2 1000.000000 147.577131
302.000005000  1  3 141.790929  1000.000000
302.002439923  3  2 1000.000000 147.562221
303.000005000  1  3 141.815864  1000.000000
303.002439943  3  2 1000.000000 147.544312
304.000005000  1  3 141.836617  1000.000000
304.002439960  3  2 1000.000000 147.529374
305.000005000  1  3 141.861487  1000.000000
305.002439980  3  2 1000.000000 147.511431
306.000005000  1  3 141.886321  1000.000000
306.002440000  3  2 1000.000000 147.493469
307.000005000  1  3 141.906990  1000.000000
307.002440017  3  2 1000.000000 147.478487
308.000005000  1  3 141.931759  1000.000000
308.002440037  3  2 1000.000000 147.460492
309.000005000  1  3 141.952374  1000.000000
309.002440053  3  2 1000.000000 147.445481
310.000005000  1  3 141.977079  1000.000000
310.002440073  3  2 1000.000000 147.427451
311.000005000  1  3 141.997640  1000.000000
311.002440090  3  2 1000.000000 147.412412
312.000005000  1  3 142.022280  1000.000000
312.002440110  3  2 1000.000000 147.394348
313.000005000  1  3 142.042788  1000.000000
313.002440127  3  2 1000.000000 147.379280
314.000005000  1  3 142.067365  1000.000000
314.002440147  3  2 1000.000000 147.361181
315.000005000  1  3 142.091907  1000.000000
315.002440167  3  2 1000.000000 147.343063
316.000005000  1  3 142.112332  1000.000000
316.002440183  3  2 1000.000000 147.327951
317.000005000  1  3 142.136811  1000.000000
317.002440203  3  2 1000.000000 147.309799
318.000005000  1  3 142.157184  1000.000000
318.002440220  3  2 1000.000000 147.294657
319.000005000  1  3 142.181599  1000.000000
319.002440240  3  2 1000.000000 147.276470
320.000005000  1  3 142.201920  1000.000000
320.002440257  3  2 1000.000000 147.261299
321.000005000  1  3 142.226273  1000.000000
321.002440277  3  2 1000.000000 147.243077
322.000005000  1  3 142.246541  1000.000000
322.002440293  3  2 1000.000000 147.227878
323.000005000  1  3 142.270831  1000.000000
323.002440313  3  2 1000.000000 147.209620
324.000005000  1  3 142.295088  1000.000000
324.002440333  3  2 1000.000000 147.191344
325.000005000  1  3 142.315276  1000.000000
325.002440350  3  2 1000.000000 147.176099
326.000005000  1  3 142.339471  1000.000000
326.002440370  3  2 1000.000000 147.157787
327.000005000  1  3 142.359607  1000.000000
327.002440387  3  2 1000.000000 147.142512
328.000005000  1  3 142.383740  1000.000000
328.002440407  3  2 1000.000000 147.124165
329.000005000  1  3 142.403825  1000.000000
329.002440423  3  2 1000.000000 147.108861
330.000005000  1  3 142.427897  1000.000000
330.002440443  3  2 1000.000000 147.090478
331.000005000  1  3 142.447932  1000.000000
331.002440460  3  2 1000.000000 147.075144
332.000005000  1  3 142.471942  1000.000000
332.002440480  3  2 1000.000000 147.056726
333.000005000  1  3 142.495920  1000.000000
333.002440500  3  2 1000.000000 147.038288
334.000005000  1  3 142.515876  1000.000000
334.002440517  3  2 1000.000000 147.022907
335.000005000  1  3 142.539793  1000.000000
335.002440537  3  2 1000.000000 147.004433
336.000005000  1  3 142.559699  1000.000000
336.002440553  3  2 1000.000000 146.989023
337.000005000  1  3 142.583556  1000.000000
337.002440573  3  2 1000.000000 146.970513
338.000005000  1  3 142.603412  1000.000000
338.002440590  3  2 1000.000000 146.955073
339.000005000  1  3 142.627208  1000.000000
339.002440610  3  2 1000.000000 146.936527
340.000005000  1  3 142.647014  1000.000000
340.002440627  3  2 1000.000000 146.921056
341.000005000  1  3 142.670752  1000.000000
